altitude,time
3308.44,10.81
3310.29,10.82
3312.95,10.83
3315.39,10.84
3317.82,10.85
3320.14,10.86
3322,10.87
3323.97,10.88
3326.63,10.89
3326.63,10.9
3329.19,10.91
3332.79,10.92
3335.92,10.93
3338.13,10.94
3339.99,10.95
3341.38,10.96
3344.17,10.97
3346.84,10.98
3347.42,10.99
3348.35,11
3348.35,11.01
3351.15,11.02
3354.52,11.03
3356.26,11.04
3358.13,11.05
3360.46,11.06
3362.55,11.07
3363.95,11.08
3366.74,11.09
3368.49,11.1
3371.64,11.11
3371.64,11.12
3374.9,11.13
3380.03,11.14
3382.48,11.15
3385.99,11.16
3388.67,11.17
3391.01,11.18
3394.16,11.19
3397.32,11.2
3401.41,11.21
3404.56,11.22
3404.56,11.23
3408.31,11.24
3411.94,11.25
3415.33,11.26
3417.79,11.27
3419.9,11.28
3423.06,11.29
3425.41,11.3
3427.87,11.31
3429.98,11.32
3433.26,11.33
3433.26,11.34
3435.14,11.35
3437.96,11.36
3440.89,11.37
3442.77,11.38
3445.71,11.39
3448.41,11.4
3450.99,11.41
3451.7,11.42
3454.4,11.43
3456.28,11.44
3456.28,11.45
3459.58,11.46
3463.34,11.47
3465.46,11.48
3467.34,11.49
3470.05,11.5
3471.58,11.51
3473.94,11.52
3475.59,11.53
3477.94,11.54
3479.59,11.55
3479.59,11.56
3483.96,11.57
3487.14,11.58
3488.44,11.59
3491.39,11.6
3493.04,11.61
3494.81,11.62
3498.12,11.63
3499.54,11.64
3501.78,11.65
3504.38,11.66
3504.38,11.67
3506.04,11.68
3509.7,11.69
3512.3,11.7
3513.49,11.71
3515.97,11.72
3517.74,11.73
3518.81,11.74
3520.82,11.75
3522.6,11.76
3525.68,11.77
3525.68,11.78
3527.22,11.79
3531.6,11.8
3534.33,11.81
3536.7,11.82
3539.66,11.83
3542.75,11.84
3545.12,11.85
3548.21,11.86
3550.23,11.87
3552.48,11.88
3552.48,11.89
3556.76,11.9
3560.68,11.91
3564.01,11.92
3566.15,11.93
3568.41,11.94
3571.74,11.95
3574.96,11.96
3576.86,11.97
3579.01,11.98
3581.63,11.99
3581.63,12
3584.85,12.01
3587.83,12.02
3590.45,12.03
3592.24,12.04
3594.15,12.05
3596.17,12.06
3598.8,12.07
3601.31,12.08
3604.17,12.09
3605.72,12.1
3605.72,12.11
3608.11,12.12
3612.89,12.13
3613.85,12.14
3615.88,12.15
3617.68,12.16
3620.55,12.17
3622.7,12.18
3625.57,12.19
3627.01,12.2
3628.44,12.21
3628.44,12.22
3630.84,12.23
3635.51,12.24
3637.91,12.25
3638.99,12.26
3640.78,12.27
3642.7,12.28
3645.34,12.29
3646.54,12.3
3648.7,12.31
3650.86,12.32
3650.86,12.33
3653.74,12.34
3657.34,12.35
3658.54,12.36
3659.86,12.37
3662.15,12.38
3662.51,12.39
3664.79,12.4
3666.47,12.41
3668.76,12.42
3670.08,12.43
3670.08,12.44
3672.48,12.45
3675.13,12.46
3677.06,12.47
3678.38,12.48
3681.51,12.49
3683.68,12.5
3685.84,12.51
3688.25,12.52
3690.18,12.53
3692.59,12.54
3692.59,12.55
3695.73,12.56
3700.55,12.57
3701.88,12.58
3705.13,12.59
3707.43,12.6
3710.69,12.61
3712.98,12.62
3716.12,12.63
3718.66,12.64
3721.2,12.65
3721.2,12.66
3724.95,12.67
3728.82,12.68
3731.72,12.69
3732.93,12.7
3735.72,12.71
3737.65,12.72
3740.56,12.73
3742.74,12.74
3745.04,12.75
3747.47,12.76
3747.47,12.77
3749.05,12.78
3753.9,12.79
3756.57,12.8
3757.41,12.81
3760.33,12.82
3762.39,12.83
3764.58,12.84
3766.52,12.85
3769.31,12.86
3770.77,12.87
3770.77,12.88
3773.2,12.89
3776.73,12.9
3778.67,12.91
3780.01,12.92
3781.96,12.93
3784.03,12.94
3786.71,12.95
3789.26,12.96
3791.7,12.97
3793.65,12.98
3793.65,12.99
3795.11,13
3798.64,13.01
3802.18,13.02
3802.79,13.03
3805.1,13.04
3806.81,13.05
3808.88,13.06
3810.23,13.07
3811.2,13.08
3814.01,13.09
3814.01,13.1
3816.33,13.11
3819.51,13.12
3821.09,13.13
3822.56,13.14
3823.54,13.15
3825.25,13.16
3826.23,13.17
3829.16,13.18
3830.87,13.19
3832.22,13.2
3832.22,13.21
3834.17,13.22
3837.6,13.23
3838.7,13.24
3840.78,13.25
3842.74,13.26
3845.56,13.27
3847.15,13.28
3849.72,13.29
3852.17,13.3
3853.15,13.31
3853.15,13.32
3856.46,13.33
3860.51,13.34
3862.97,13.35
3864.81,13.36
3867.14,13.37
3869.72,13.38
3872.42,13.39
3874.51,13.4
3876.35,13.41
3878.68,13.42
3878.68,13.43
3881.76,13.44
3885.94,13.45
3888.28,13.46
3891.23,13.47
3893.08,13.48
3895.41,13.49
3896.89,13.5
3899.36,13.51
3901.45,13.52
3904.16,13.53
3904.16,13.54
3906.13,13.55
3909.83,13.56
3911.93,13.57
3914.15,13.58
3916.62,13.59
3918.22,13.6
3919.7,13.61
3921.8,13.62
3923.65,13.63
3925.75,13.64
3925.75,13.65
3929.33,13.66
3931.68,13.67
3934.65,13.68
