time,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
1.67,23.73,88721,1106.37,167.78,106.12,26,9.05,9.02,9.07
1.68,23.77,88703,1108.04,169.45,106.35,26,9.07,9.03,9.08
1.69,23.82,88694,1108.87,170.28,106.58,26,9.07,9.05,9.07
1.7,23.86,88689,1109.34,170.74,106.81,26,9.05,9.03,9.07
1.71,23.91,88667,1111.38,172.78,107.05,26,9.07,9.03,9.07
1.72,23.96,88661,1111.93,173.34,107.29,26,9.07,9.03,9.07
1.73,24.02,88645,1113.42,174.82,107.53,26,9.07,9.03,9.08
1.74,24.07,88635,1114.35,175.75,107.77,26,9.07,9.03,9.07
1.75,24.12,88630,1114.81,176.22,108.02,26,9.07,9.03,9.07
1.76,24.17,88611,1116.57,177.98,108.26,26,9,9.03,9.07
1.77,24.23,88611,1116.57,177.98,108.51,26,9.07,9.03,9.08
1.78,24.28,88593,1118.24,179.65,108.76,26,9.05,9.03,9.07
1.79,24.33,88583,1119.17,180.58,109.01,26,9.07,9.03,9.07
1.8,24.38,88566,1120.75,182.16,109.26,26,9.07,9.03,9.08
1.81,24.43,88550,1122.23,183.64,109.51,26,9.07,9.03,9.07
1.82,24.48,88547,1122.51,183.92,109.77,26,9.07,9.03,9.07
1.83,24.53,88527,1124.37,185.78,110.02,26,9.05,9.03,9.08
1.84,24.57,88533,1123.81,185.22,110.28,26,9.07,9.03,9.07
1.85,24.62,88509,1126.04,187.45,110.54,26,9.07,9.03,9.08
1.86,24.66,88497,1127.16,188.56,110.8,26,9.07,9.03,9.08
1.87,24.7,88488,1127.99,189.4,111.06,26,9.02,9.03,9.07
1.88,24.74,88488,1127.99,189.4,111.32,26,9.05,9.02,9.08
1.89,24.78,88468,1129.85,191.26,111.57,26,9.05,9.02,9.07
1.9,24.81,88447,1131.8,193.21,111.83,26,9.07,9.03,9.08
1.91,24.84,88443,1132.17,193.58,112.09,26,9.07,9.03,9.08
1.92,24.87,88427,1133.66,195.07,112.35,26,9.07,9.03,9.07
1.93,24.9,88406,1135.61,197.02,112.6,26,9.07,9.03,9.07
1.94,24.92,88398,1136.36,197.76,112.86,26,9.07,9.03,9.07
1.95,24.94,88367,1139.24,200.64,113.11,26,9.07,9.03,9.07
1.96,24.97,88376,1138.4,199.81,113.36,26,9.05,9.03,9.08
1.97,24.98,88359,1139.98,201.39,113.62,26,9.05,9.03,9.07
1.98,25,88350,1140.82,202.23,113.87,26,9.02,9.03,9.07
1.99,25.01,88350,1140.82,202.23,114.12,26,9.05,9.02,9.08
2,25.03,88339,1141.84,203.25,114.37,26,9.05,9.03,9.07
2.01,25.04,88316,1143.98,205.39,114.62,26,9.07,9.03,9.08
2.02,25.04,88298,1145.66,207.06,114.87,26,9.07,9.03,9.07
2.03,25.05,88286,1146.77,208.18,115.12,26,9.07,9.03,9.07
2.04,25.06,88281,1147.24,208.65,115.37,26,9.07,9.03,9.08
2.05,25.06,88261,1149.1,210.51,115.62,26,9.07,9.03,9.08
2.06,25.06,88258,1149.38,210.79,115.88,26,9.05,9.03,9.08
2.07,25.06,88241,1150.96,212.37,116.13,26,9.05,9.03,9.08
2.08,25.06,88227,1152.27,213.67,116.37,26,9.07,9.03,9.07
2.09,25.06,88222,1152.73,214.14,116.62,26,9.02,9.02,9.07
